0,2,0.0 0.010720877955283441 0.010720877956086488 0.010720877946476661 0.01072087795840111 0.01072087786853787 0.010720878025354864 0.010720877080534952 0.010720879190269395 0.0107208682007564 0.010720897974544733 0.010720758517293118 0.010721185267685205 0.010719304340067284 0.010725917470737636 0.010700784674388335 0.010969590806308993 0.01364459449124141 0.022690534757440237 0.05330788428494195 
1,3,0.5 0.2838064726399765 0.28380647264908393 0.28380647254021457 0.2838064726756098 0.2838064716567207 0.2838064734402577 0.2838064627125277 0.2838064867684191 0.283806361711717 0.2838067022613477 0.2838051102217221 0.28381001522763655 0.2837884481381561 0.28386500615712446 0.283576991079494 0.28733316223900673 0.3315310229282176 0.3693548336394948 0.3352240420797755 
2,3,0.0 0.0366940932655417 0.036694093268016696 0.03669409323820947 0.03669409327473697 0.036694092997248726 0.036694093473130046 0.03669409057857318 0.03669409688839922 0.036694063642576547 0.03669415110249319 0.03669373681810023 0.03669495574537804 0.03668950620572924 0.036707932803913774 0.03663727616657076 0.03755886587257189 0.05362372747498364 0.09588092033970211 0.13868169128927071 
2,1,1.0 0.6417190360182353 0.641719036005214 0.6417190361612716 0.6417190359682478 0.6417190374258728 0.6417190348935176 0.6417190501879412 0.6417190162437877 0.6417191935688136 0.6417187166658993 0.6417209566871545 0.64171416714681 0.6417441957672062 0.6416394154525392 0.6420365882731995 0.6369984326674951 0.5731875771110964 0.46827665536231966 0.2872120299969097 
2,2,0.0 0.005260591530908152 0.005260591531347306 0.005260591526047558 0.005260591532515947 0.005260591483249488 0.0052605915672602815 0.005260591054664878 0.005260592163186256 0.005260586300100589 0.0052606015709646715 0.0052605289557923355 0.0052607396774327604 0.005259792776613764 0.005262943791408865 0.00525074602910302 0.005390522034152699 0.0069055544709860335 0.014534110588395382 0.04362989811876063 
3,3,0.5 0.02169715789932799 0.02169715789951992 0.021697157897077827 0.021697157899753995 0.021697157877878077 0.02169715790961146 0.021697157697305684 0.02169715805293849 0.021697155908811185 0.021697159702090997 0.02169713836245123 0.021697165894766505 0.021696984815500375 0.021697009882576824 0.021695871222567897 0.021647698078365543 0.02100602563915323 0.029104129524905598 0.14117508927968084 
4,2,0.0 0.0001017706907273088 0.00010177069072944395 0.000101770690702852 0.00010177069073331929 0.00010177069049151097 0.00010177069086746004 0.00010177068845153114 0.00010177069300000892 0.00010177066722347082 0.00010177072265757061 0.00010177043748752903 0.00010177104029000722 0.00010176795672725504 0.00010177444169880595 0.00010174255467626464 0.00010172830210007544 0.00010149788432230723 0.00015881578774172892 0.0007693649506607127 
