0,A1g,0.0 1.3309659826153306e-34 1.33096598261533e-34 1.3309659826153289e-34 1.3309659826153297e-34 1.3309659826153293e-34 1.3309659826153289e-34 1.3309659826153286e-34 1.330965982615329e-34 1.330965982615329e-34 1.3309659826153284e-34 1.3309659826153265e-34 1.330965982615338e-34 1.3309659826152168e-34 1.330965982615781e-34 1.3309659826077395e-34 1.3309659826425066e-34 1.3309659819229425e-34 1.3309659845289317e-34 1.3309658836297585e-34 1.3309660912517415e-34 1.3309484413972732e-34 1.330958977540632e-34 1.3300749240093414e-34 1.3307152282189917e-34 1.3177213326580102e-34 1.333926498191337e-34 1.16901697228927e-34 2.0657254143826218e-14 0.00016182093485209297 
1,A1g,0.25 0.010983493516657514 0.010983493516657507 0.010983493516657509 0.01098349351665751 0.01098349351665751 0.010983493516657509 0.010983493516657507 0.01098349351665751 0.010983493516657502 0.010983493516657505 0.010983493516657507 0.010983493516657512 0.010983493516657465 0.010983493516657662 0.010983493516654702 0.010983493516667211 0.0109834935163905 0.010983493517372992 0.010983493477660023 0.010983493558239289 0.010983486563219624 0.01098349070265238 0.010983139975886482 0.010983394571100582 0.010978234204949082 0.010984725781751992 0.01091889442785103 0.011052968271323437 0.010572445809185446 
1,A1g,0.25 0.010983493516657505 0.0109834935166575 0.010983493516657497 0.0109834935166575 0.0109834935166575 0.0109834935166575 0.010983493516657498 0.0109834935166575 0.01098349351665749 0.0109834935166575 0.010983493516657502 0.010983493516657505 0.010983493516657462 0.010983493516657655 0.010983493516654695 0.010983493516667202 0.010983493516390492 0.010983493517372989 0.010983493477660016 0.01098349355823928 0.010983486563219616 0.010983490702652374 0.010983139975886477 0.010983394571100579 0.010978234204949075 0.010984725781751987 0.010918894427851026 0.011052968271323429 0.010572445809185437 
2,A1g,0.0 0.001170251128549848 0.0011702511285498476 0.0011702511285498474 0.0011702511285498472 0.001170251128549847 0.0011702511285498465 0.0011702511285498463 0.0011702511285498463 0.0011702511285498465 0.0011702511285498467 0.0011702511285498465 0.0011702511285498467 0.0011702511285498413 0.0011702511285498684 0.0011702511285493521 0.0011702511285514145 0.001170251128497866 0.0011702511286797307 0.0011702511206113915 0.0011702511365147847 0.0011702496955687872 0.0011702505334854768 0.0011701781395096701 0.0011702309233429372 0.0011691635774606572 0.0011705302309453008 0.0011568045280942643 0.0011870463150813145 0.0014682695584770612 
2,A1g,0.5 0.9433238055971698 0.9433238055971693 0.9433238055971691 0.9433238055971689 0.9433238055971691 0.9433238055971688 0.9433238055971689 0.9433238055971687 0.9433238055971692 0.9433238055971684 0.9433238055971689 0.9433238055971689 0.9433238055971688 0.9433238055971681 0.9433238055971813 0.9433238055971305 0.9433238055984782 0.9433238055939515 0.9433238057991924 0.9433238053972628 0.9433238421626271 0.9433238208650655 0.9433256687832253 0.9433243201398559 0.9433515772590644 0.9433165392852968 0.943667775606166 0.9429170029599339 0.9402063546671208 
2,A1g,0.0 3.302086854548319e-34 3.302086854548316e-34 3.302086854548315e-34 3.302086854548314e-34 3.3020868545483156e-34 3.302086854548315e-34 3.3020868545483148e-34 3.3020868545483165e-34 3.302086854548316e-34 3.302086854548315e-34 3.30208685454831e-34 3.302086854548333e-34 3.302086854548082e-34 3.302086854549256e-34 3.302086854532375e-34 3.3020868546051574e-34 3.3020868530859366e-34 3.3020868585736053e-34 3.302086644878197e-34 3.302087083770711e-34 3.3020496677317583e-34 3.302071976864543e-34 3.3001976050252655e-34 3.301555597729422e-34 3.2740019227993115e-34 3.3083872606372785e-34 2.957871392469398e-34 1.0827410274526389e-12 1.4151663428219164e-5 
2,A1g,0.0 1.0922198325861273e-34 1.0922198325861258e-34 1.0922198325861262e-34 1.0922198325861262e-34 1.092219832586127e-34 1.0922198325861266e-34 1.0922198325861266e-34 1.0922198325861266e-34 1.0922198325861264e-34 1.0922198325861262e-34 1.092219832586126e-34 1.092219832586128e-34 1.0922198325860967e-34 1.0922198325862363e-34 1.092219832583764e-34 1.092219832593838e-34 1.092219832346053e-34 1.0922198331997034e-34 1.0922197964263857e-34 1.092219869562386e-34 1.0922133297434155e-34 1.0922171530358141e-34 1.0918887892092e-34 1.0921278854970414e-34 1.0872896518358015e-34 1.0934558009892932e-34 1.0315437477966904e-34 4.1128989016680006e-12 6.595076858410272e-5 
3,A1g,0.25 0.016769478120480037 0.016769478120480026 0.016769478120480033 0.01676947812048003 0.01676947812048002 0.01676947812048002 0.016769478120480026 0.016769478120480026 0.016769478120480023 0.01676947812048002 0.016769478120480016 0.016769478120480026 0.016769478120479995 0.016769478120480106 0.016769478120476983 0.016769478120488335 0.016769478120118215 0.016769478121308256 0.016769478062434846 0.016769478174868763 0.016769467507679513 0.016769473598069386 0.016768936562743236 0.01676932989729728 0.016761395376786305 0.016771739460124058 0.016668815505008865 0.01689500699914837 0.01753256042170671 
3,A1g,0.25 0.01676947812048001 0.016769478120480002 0.016769478120480005 0.016769478120480005 0.016769478120479995 0.016769478120479995 0.016769478120480002 0.01676947812048 0.016769478120479995 0.016769478120479995 0.01676947812047999 0.016769478120480002 0.016769478120479978 0.016769478120480078 0.01676947812047696 0.016769478120488308 0.016769478120118187 0.01676947812130823 0.016769478062434822 0.01676947817486874 0.016769467507679492 0.01676947359806936 0.01676893656274321 0.016769329897297257 0.016761395376786288 0.016771739460124037 0.016668815505008844 0.016895006999148345 0.01753256042170669 
4,A1g,0.0 4.8423681531221475e-15 4.842368153122143e-15 4.842368153122142e-15 4.842368153122144e-15 4.842368153122143e-15 4.842368153122141e-15 4.842368153122143e-15 4.842368153122141e-15 4.842368153122143e-15 4.8423681531221326e-15 4.842368153122194e-15 4.842368153121805e-15 4.84236815312236e-15 4.842368153114785e-15 4.842368152942835e-15 4.842368153336882e-15 4.842368122817842e-15 4.8423682084345964e-15 4.842362773725181e-15 4.84237251396452e-15 4.8413607681488615e-15 4.841918797396241e-15 4.790788929318387e-15 4.828609931226222e-15 4.0718861293823904e-15 5.8061092664789155e-15 1.9892418834730214e-14 1.7882509799704683e-10 0.0018734399457534833 
