0,A1g,0.0 5.407298079187573e-34 5.40729807918757e-34 5.4072980791875735e-34 5.407298079187573e-34 5.407298079187571e-34 5.407298079187569e-34 5.407298079187567e-34 5.407298079187568e-34 5.407298079187567e-34 5.407298079187567e-34 5.40729807918757e-34 5.407298079187544e-34 5.407298079187648e-34 5.407298079186148e-34 5.4072980791923366e-34 5.407298079078301e-34 5.4072980795278784e-34 5.407298067269637e-34 5.407298110327237e-34 5.407296108480637e-34 5.407300550752655e-34 5.4070938323023065e-34 5.4073445182875085e-34 5.402581977570948e-34 5.409493287144741e-34 5.34897920861949e-34 5.481257714040297e-34 1.787230878984317e-14 0.00015769154824097874 
1,A1g,0.25 0.010516287051662835 0.010516287051662835 0.010516287051662835 0.010516287051662836 0.01051628705166283 0.010516287051662831 0.010516287051662828 0.010516287051662828 0.010516287051662828 0.010516287051662828 0.010516287051662824 0.010516287051662817 0.01051628705166284 0.010516287051662502 0.010516287051663891 0.010516287051637251 0.01051628705174138 0.0105162870488111 0.010516287059047147 0.01051628657589208 0.010516287644686203 0.010516237656308772 0.01051629824624468 0.010515146018689213 0.010516822593559764 0.010502158649966589 0.010534416775327599 0.010367404055298918 0.010431105327391513 
1,A1g,0.25 0.010516287051662824 0.010516287051662828 0.010516287051662826 0.010516287051662828 0.01051628705166282 0.010516287051662822 0.01051628705166282 0.01051628705166282 0.01051628705166282 0.010516287051662819 0.010516287051662817 0.01051628705166281 0.010516287051662831 0.010516287051662493 0.010516287051663882 0.010516287051637242 0.010516287051741374 0.010516287048811095 0.010516287059047141 0.010516286575892073 0.010516287644686194 0.010516237656308765 0.01051629824624467 0.010515146018689206 0.010516822593559757 0.010502158649966578 0.010534416775327592 0.01036740405529891 0.010431105327391504 
2,A1g,0.0 0.001176659314234836 0.0011766593142348359 0.0011766593142348365 0.0011766593142348363 0.001176659314234835 0.0011766593142348359 0.0011766593142348352 0.001176659314234836 0.0011766593142348357 0.0011766593142348355 0.0011766593142348352 0.0011766593142348346 0.0011766593142348376 0.0011766593142347784 0.0011766593142350141 0.001176659314229613 0.0011766593142501214 0.001176659313607978 0.0011766593158117691 0.001176659206727409 0.0011766594457197142 0.0011766480936948028 0.0011766618322694 0.0011763997872684033 0.0011767841479752778 0.0011734327496468373 0.001180958522877393 0.0011426302476749705 0.001517251665756733 
2,A1g,0.5 0.9456128388582592 0.9456128388582593 0.9456128388582594 0.9456128388582595 0.945612838858259 0.9456128388582589 0.9456128388582582 0.945612838858259 0.9456128388582583 0.9456128388582588 0.9456128388582583 0.9456128388582585 0.9456128388582584 0.9456128388582595 0.9456128388582548 0.9456128388583782 0.9456128388579136 0.9456128388728097 0.9456128388218932 0.9456128413688901 0.9456128358003273 0.9456131011887217 0.9456127801123781 0.9456189081329581 0.9456099043837687 0.9456883638943172 0.9455112991996184 0.9464132170223606 0.9408868295670962 
2,A1g,0.0 1.8161740690518718e-33 1.816174069051873e-33 1.816174069051873e-33 1.816174069051873e-33 1.816174069051872e-33 1.8161740690518718e-33 1.816174069051872e-33 1.8161740690518718e-33 1.8161740690518708e-33 1.8161740690518715e-33 1.8161740690518708e-33 1.816174069051867e-33 1.8161740690518865e-33 1.81617406905159e-33 1.8161740690528054e-33 1.8161740690296337e-33 1.8161740691204164e-33 1.8161740665845773e-33 1.8161740754540624e-33 1.816173658258497e-33 1.8161745818083586e-33 1.8161314367084642e-33 1.81618373807719e-33 1.8151893569728092e-33 1.816635363579713e-33 1.803984604262532e-33 1.831796514415125e-33 7.249500048991474e-13 1.3538729457446583e-5 
2,A1g,0.0 1.044388764792059e-33 1.0443887647920592e-33 1.0443887647920594e-33 1.0443887647920599e-33 1.0443887647920588e-33 1.0443887647920594e-33 1.044388764792059e-33 1.044388764792059e-33 1.0443887647920592e-33 1.0443887647920594e-33 1.0443887647920595e-33 1.0443887647920549e-33 1.0443887647920742e-33 1.0443887647917862e-33 1.0443887647929745e-33 1.04438876477099e-33 1.0443887648575931e-33 1.0443887624889651e-33 1.0443887708043229e-33 1.0443883836218858e-33 1.0443892425430989e-33 1.0443492528856697e-33 1.0443977456007603e-33 1.0434763881467535e-33 1.044813802351755e-33 1.0331049146845484e-33 1.0587228663849044e-33 2.9001543665301625e-12 6.449412901649617e-5 
3,A1g,0.25 0.01608896386209073 0.016088963862090733 0.01608896386209074 0.016088963862090737 0.01608896386209073 0.016088963862090733 0.016088963862090723 0.016088963862090737 0.016088963862090726 0.016088963862090723 0.01608896386209072 0.01608896386209072 0.016088963862090723 0.016088963862090435 0.0160889638620915 0.016088963862059318 0.016088963862176796 0.016088963857980372 0.016088963872100803 0.016088963136299393 0.016088964732290385 0.01608888770248317 0.016088980781431523 0.01608720002119769 0.016089833140568496 0.016066943028051305 0.016119454363424473 0.015854672245011227 0.01734022740677014 
3,A1g,0.25 0.016088963862090716 0.016088963862090723 0.016088963862090726 0.016088963862090726 0.01608896386209072 0.016088963862090723 0.016088963862090713 0.016088963862090726 0.016088963862090713 0.01608896386209071 0.016088963862090706 0.016088963862090706 0.01608896386209071 0.01608896386209042 0.016088963862091483 0.0160889638620593 0.01608896386217678 0.016088963857980358 0.01608896387210079 0.016088963136299376 0.01608896473229037 0.016088887702483155 0.016088980781431513 0.016087200021197675 0.016089833140568482 0.016066943028051294 0.01611945436342446 0.015854672245011216 0.017340227406770124 
4,A1g,0.0 1.97474895241756e-34 1.9747489524175605e-34 1.974748952417562e-34 1.974748952417562e-34 1.9747489524175605e-34 1.97474895241756e-34 1.97474895241756e-34 1.9747489524175605e-34 1.97474895241756e-34 1.9747489524175597e-34 1.9747489524175597e-34 1.974748952417558e-34 1.9747489524175614e-34 1.974748952417318e-34 1.974748952418186e-34 1.974748952388398e-34 1.974748952495594e-34 1.9747489484901077e-34 1.9747489618839286e-34 1.974748252705979e-34 1.9747497862942627e-34 1.9746754111282124e-34 1.974765240612541e-34 1.9730450891111236e-34 1.9755946884730944e-34 1.953450450874956e-34 2.0044555290099316e-34 1.2570063720399108e-10 0.0018175288921086598 
