0,A1g,0.0 0.02994244080186181 0.02994244080186194 0.029942440801861807 0.02994244080186198 0.029942440801861828 0.029942440801861935 0.02994244080186188 0.02994244080186201 0.02994244080186176 0.029942440801861994 0.02994244080186178 0.029942440801861918 0.029942440801861765 0.029942440801861866 0.029942440801861866 0.029942440801861602 0.029942440801802125 0.02994244080168201 0.029942440798252666 0.02994244079791013 0.029942440769735026 0.02994244078588389 0.029942440563281877 0.029942440814833375 0.02994243875128699 0.02994244208140902 0.029942420488683123 0.029942464936417473 0.02994221481087034 0.02994283071218837 0.029939685272459802 0.0299489004359034 0.029929674810849256 0.03073039914418409 0.032979639246554386 0.037647998648193376 0.04453567385621747 0.05453479154775487 0.060658143280570086 
1,Eg,0.5 0.2808216569584121 0.28082165695841294 0.28082165695841144 0.28082165695841327 0.2808216569584118 0.28082165695841316 0.2808216569584117 0.2808216569584132 0.28082165695841155 0.28082165695841294 0.28082165695841155 0.28082165695841277 0.280821656958411 0.28082165695841343 0.2808216569584117 0.2808216569584111 0.28082165695813177 0.28082165695756495 0.28082165694141037 0.280821656939801 0.2808216568070324 0.28082165688343314 0.28082165583347735 0.2808216570270531 0.2808216472745786 0.2808216631515203 0.28082156074044184 0.2808217740932124 0.28082058126308146 0.2808235617204113 0.28080844360272744 0.2808535250807303 0.28076921307256014 0.28521092368343925 0.2975414551606623 0.2945044544004382 0.28648623625561426 0.262021235405707 0.2532962844623686 
2,A1g,0.0 0.12841827186603227 0.1284182718660332 0.12841827186603216 0.12841827186603358 0.1284182718660321 0.12841827186603294 0.1284182718660325 0.12841827186603283 0.12841827186603222 0.1284182718660326 0.12841827186603252 0.12841827186603286 0.1284182718660324 0.12841827186603275 0.12841827186603266 0.1284182718660316 0.12841827186580318 0.1284182718653441 0.1284182718521801 0.1284182718508538 0.128418271742835 0.1284182718039118 0.12841827095322098 0.1284182718950091 0.1284182640621925 0.12841827632007838 0.1284181953580217 0.12841835499531506 0.1284174351283739 0.128419581767497 0.12840834224951747 0.1284406233843637 0.12855411183190957 0.13699388201710608 0.15118049400113495 0.15106656449584832 0.14523045610820975 0.13311801914889945 0.1270565484830068 
2,Eg,0.0 0.3434479632266674 0.34344796322667015 0.34344796322666776 0.34344796322666954 0.3434479632266671 0.34344796322666804 0.34344796322666776 0.3434479632266696 0.34344796322666765 0.34344796322666893 0.34344796322666743 0.34344796322666876 0.343447963226667 0.3434479632266691 0.34344796322666843 0.3434479632266721 0.343447963227356 0.3434479632287318 0.3434479632681032 0.34344796327206006 0.34344796359525903 0.34344796341175954 0.34344796595953214 0.3434479631212498 0.34344798662828036 0.34344794949254864 0.34344819337966587 0.3434477060147454 0.3434504936483265 0.34344387706959 0.3434782545583629 0.3433799130124152 0.34337289810339755 0.3275232924823907 0.28850448799341627 0.2535943836201756 0.2317292650627451 0.20521233953896695 0.19181835263985192 
2,A2g,1.0 0.051795917203787144 0.05179591720378761 0.051795917203787206 0.05179591720378747 0.05179591720378706 0.05179591720378742 0.05179591720378723 0.05179591720378735 0.051795917203787185 0.05179591720378746 0.05179591720378716 0.05179591720378761 0.05179591720378715 0.05179591720378752 0.05179591720378737 0.051795917203786984 0.05179591720368194 0.051795917203470966 0.051795917197426045 0.051795917196817705 0.05179591714720355 0.05179591717531592 0.051795916784394234 0.0517959172185632 0.0517959136153451 0.05179591928147032 0.051795881966342404 0.05179595604952747 0.051795530788072586 0.05179653184835882 0.051791310977513536 0.05180607534267261 0.051793246361616176 0.05404297472528917 0.06198457122054917 0.06745082006180601 0.06779883339670743 0.06477491592014537 0.06311971931262103 
3,Eg,0.5 0.15748986180493305 0.1574898618049338 0.1574898618049329 0.15748986180493435 0.15748986180493302 0.15748986180493413 0.1574898618049329 0.1574898618049334 0.15748986180493288 0.15748986180493402 0.15748986180493313 0.15748986180493396 0.15748986180493305 0.1574898618049336 0.15748986180493346 0.157489861804934 0.15748986180492833 0.15748986180492117 0.15748986180465194 0.15748986180461388 0.1574898618025247 0.1574898618029292 0.15748986178901794 0.15748986178619817 0.15748986170768534 0.1574898614713054 0.15748986159750317 0.157489854677782 0.15748987314660223 0.157489714888356 0.15749025131320332 0.1574869100065704 0.15749754135437402 0.15737924654895316 0.15939507173306985 0.18375956106400437 0.20080122612437523 0.234827645606194 0.2465747729904779 
4,A1g,0.0 0.00808388813830038 0.008083888138300438 0.008083888138300403 0.008083888138300452 0.008083888138300391 0.008083888138300414 0.008083888138300408 0.008083888138300419 0.008083888138300391 0.008083888138300441 0.008083888138300386 0.008083888138300447 0.008083888138300408 0.008083888138300426 0.0080838881383004 0.008083888138300426 0.00808388813829496 0.008083888138284348 0.008083888137974364 0.008083888137942018 0.008083888135410175 0.008083888136765858 0.008083888117074646 0.00808388813709329 0.00808388796063035 0.008083888201667168 0.008083886469341406 0.008083889232999738 0.00808387121467294 0.008083901993597457 0.008083712026214872 0.008084052737342763 0.008083314465293135 0.008119281398637136 0.008414280644613093 0.011976217709534383 0.023418309196129684 0.045511052832331686 0.05747617883110373 
